"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,166,36,210,42.68,"C",0.821782178217822,0.178217821782178,0.821782178217822,"Yes"
"2",1102,563,221,817,46.74,"C",0.718112244897959,0.281887755102041,0.718112244897959,"Yes"
"3",1104,261,91,376,43.57,"C",0.741477272727273,0.258522727272727,0.741477272727273,"Yes"
"4",1106,412,138,571,40.41,"C",0.749090909090909,0.250909090909091,0.749090909090909,"Yes"
"5",1109,486,170,699,42.97,"C",0.740853658536585,0.259146341463415,0.740853658536585,"Yes"
"6",1111,221,91,328,37.88,"C",0.708333333333333,0.291666666666667,0.708333333333333,"Yes"
"7",1112,199,50,258,38.62,"C",0.799196787148594,0.200803212851406,0.799196787148594,"Yes"
"8",1114,382,162,586,39.38,"C",0.702205882352941,0.297794117647059,0.702205882352941,"Yes"
"9",1115,361,135,558,35.05,"C",0.727822580645161,0.272177419354839,0.727822580645161,"Yes"
"10",1117,205,74,297,38.67,"C",0.734767025089606,0.265232974910394,0.734767025089606,"Yes"
"11",1118,413,159,606,37.24,"C",0.722027972027972,0.277972027972028,0.722027972027972,"Yes"
"12",1119,187,66,266,38.49,"C",0.739130434782609,0.260869565217391,0.739130434782609,"Yes"
"13",1122,165,52,230,39.25,"C",0.76036866359447,0.23963133640553,0.76036866359447,"Yes"
"14",1123,372,117,534,31.01,"C",0.760736196319018,0.239263803680982,0.760736196319018,"Yes"
"15",1126,398,151,586,40.52,"C",0.724954462659381,0.275045537340619,0.724954462659381,"Yes"
"16",1128,402,176,623,40.04,"C",0.695501730103806,0.304498269896194,0.695501730103806,"Yes"
"17",1129,403,143,583,37.79,"C",0.738095238095238,0.261904761904762,0.738095238095238,"Yes"
"18",1132,248,101,379,44.27,"C",0.710601719197708,0.289398280802292,0.710601719197708,"Yes"
"19",1134,185,84,298,43,"C",0.687732342007435,0.312267657992565,0.687732342007435,"Yes"
