"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,153,52,210,42.68,"D",0.746341463414634,0.253658536585366,0.746341463414634,"Yes"
"2",1102,558,240,817,46.74,"D",0.699248120300752,0.300751879699248,0.699248120300752,"Yes"
"3",1104,248,117,376,43.57,"D",0.679452054794521,0.320547945205479,0.679452054794521,"Yes"
"4",1106,359,199,571,40.41,"D",0.64336917562724,0.35663082437276,0.64336917562724,"Yes"
"5",1109,455,218,699,42.97,"D",0.676077265973254,0.323922734026746,0.676077265973254,"Yes"
"6",1111,223,98,328,37.88,"D",0.694704049844237,0.305295950155763,0.694704049844237,"Yes"
"7",1112,181,72,258,38.62,"D",0.715415019762846,0.284584980237154,0.715415019762846,"Yes"
"8",1114,412,157,586,39.38,"D",0.724077328646749,0.275922671353251,0.724077328646749,"Yes"
"9",1115,361,171,558,35.05,"D",0.678571428571429,0.321428571428571,0.678571428571429,"Yes"
"10",1117,191,97,297,38.67,"D",0.663194444444444,0.336805555555556,0.663194444444444,"Yes"
"11",1118,402,189,606,37.24,"D",0.680203045685279,0.319796954314721,0.680203045685279,"Yes"
"12",1119,182,78,266,38.49,"D",0.7,0.3,0.7,"Yes"
"13",1122,147,79,230,39.25,"D",0.650442477876106,0.349557522123894,0.650442477876106,"Yes"
"14",1123,366,145,534,31.01,"D",0.716242661448141,0.283757338551859,0.716242661448141,"Yes"
"15",1126,390,177,586,40.52,"D",0.687830687830688,0.312169312169312,0.687830687830688,"Yes"
"16",1128,405,191,623,40.04,"D",0.679530201342282,0.320469798657718,0.679530201342282,"Yes"
"17",1129,397,174,583,37.79,"D",0.695271453590193,0.304728546409807,0.695271453590193,"Yes"
"18",1132,222,139,379,44.27,"D",0.614958448753463,0.385041551246537,0.614958448753463,"Yes"
"19",1134,195,96,298,43,"D",0.670103092783505,0.329896907216495,0.670103092783505,"Yes"
"20",1135,351,174,529,42.22,"D",0.668571428571429,0.331428571428571,0.668571428571429,"Yes"
"21",1136,190,99,299,40.57,"D",0.657439446366782,0.342560553633218,0.657439446366782,"Yes"
"22",1141,461,214,701,41.31,"D",0.682962962962963,0.317037037037037,0.682962962962963,"Yes"
"23",1144,530,192,741,43.01,"D",0.734072022160665,0.265927977839335,0.734072022160665,"Yes"
"24",1146,509,215,744,44.26,"D",0.703038674033149,0.296961325966851,0.703038674033149,"Yes"
"25",1148,211,119,337,40.75,"D",0.639393939393939,0.360606060606061,0.639393939393939,"Yes"
"26",1149,501,227,765,46.14,"D",0.688186813186813,0.311813186813187,0.688186813186813,"Yes"
"27",1153,466,230,696,43.42,"D",0.669540229885057,0.330459770114943,0.669540229885057,"Yes"
"28",7001,217,57,284,45.23,"D",0.791970802919708,0.208029197080292,0.791970802919708,"Yes"
"29",7002,283,89,373,43.37,"D",0.760752688172043,0.239247311827957,0.760752688172043,"Yes"
"30",7003,529,279,811,51.13,"D",0.65470297029703,0.34529702970297,0.65470297029703,"Yes"
"31",7005,224,181,412,53.86,"D",0.553086419753086,0.446913580246914,0.553086419753086,"Yes"
"32",7006,323,104,437,50.35,"D",0.756440281030445,0.243559718969555,0.756440281030445,"Yes"
"33",7007,550,366,929,55.79,"D",0.600436681222707,0.399563318777293,0.600436681222707,"Yes"
"34",7011,486,183,672,37.03,"D",0.726457399103139,0.273542600896861,0.726457399103139,"Yes"
"35",7012,287,172,458,51.63,"D",0.625272331154684,0.374727668845316,0.625272331154684,"Yes"
"36",7013,501,179,677,42.74,"D",0.736764705882353,0.263235294117647,0.736764705882353,"Yes"
"37",7015,20,10,32,41.03,"D",0.666666666666667,0.333333333333333,0.666666666666667,"Yes"
"38",7016,399,191,607,35.39,"D",0.676271186440678,0.323728813559322,0.676271186440678,"Yes"
"39",7018,453,204,680,39.26,"D",0.689497716894977,0.310502283105023,0.689497716894977,"Yes"
