"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,91,116,210,42.68,"F",0.439613526570048,0.560386473429952,0.560386473429952,"No"
"2",1102,303,504,817,46.74,"F",0.37546468401487,0.62453531598513,0.62453531598513,"No"
"3",1104,156,210,376,43.57,"F",0.426229508196721,0.573770491803279,0.573770491803279,"No"
"4",1106,198,364,571,40.41,"F",0.352313167259786,0.647686832740214,0.647686832740214,"No"
"5",1109,257,428,699,42.97,"F",0.375182481751825,0.624817518248175,0.624817518248175,"No"
"6",1111,110,214,328,37.88,"F",0.339506172839506,0.660493827160494,0.660493827160494,"No"
"7",1112,93,159,258,38.62,"F",0.369047619047619,0.630952380952381,0.630952380952381,"No"
"8",1114,248,332,586,39.38,"F",0.427586206896552,0.572413793103448,0.572413793103448,"No"
"9",1115,173,368,558,35.05,"F",0.319778188539741,0.680221811460259,0.680221811460259,"No"
"10",1117,89,201,297,38.67,"F",0.306896551724138,0.693103448275862,0.693103448275862,"No"
"11",1118,216,377,606,37.24,"F",0.36424957841484,0.63575042158516,0.63575042158516,"No"
"12",1119,107,153,266,38.49,"F",0.411538461538462,0.588461538461538,0.588461538461538,"No"
"13",1122,91,134,230,39.25,"F",0.404444444444444,0.595555555555556,0.595555555555556,"No"
"14",1123,162,356,534,31.01,"F",0.312741312741313,0.687258687258687,0.687258687258687,"No"
"15",1126,223,347,586,40.52,"F",0.391228070175439,0.608771929824561,0.608771929824561,"No"
"16",1128,246,369,623,40.04,"F",0.4,0.6,0.6,"No"
"17",1129,226,337,583,37.79,"F",0.401420959147425,0.598579040852576,0.598579040852576,"No"
"18",1132,148,219,379,44.27,"F",0.403269754768392,0.596730245231608,0.596730245231608,"No"
"19",1134,113,182,298,43,"F",0.383050847457627,0.616949152542373,0.616949152542373,"No"
"20",1135,189,335,529,42.22,"F",0.360687022900763,0.639312977099237,0.639312977099237,"No"
"21",1136,102,193,299,40.57,"F",0.345762711864407,0.654237288135593,0.654237288135593,"No"
"22",1141,306,378,701,41.31,"F",0.447368421052632,0.552631578947368,0.552631578947368,"No"
"23",1144,319,405,741,43.01,"F",0.44060773480663,0.55939226519337,0.55939226519337,"No"
"24",1146,303,423,744,44.26,"F",0.417355371900826,0.582644628099174,0.582644628099174,"No"
"25",1148,137,198,337,40.75,"F",0.408955223880597,0.591044776119403,0.591044776119403,"No"
"26",1149,348,394,765,46.14,"F",0.46900269541779,0.53099730458221,0.53099730458221,"No"
"27",1153,289,406,696,43.42,"F",0.415827338129496,0.584172661870504,0.584172661870504,"No"
"28",7001,113,162,284,45.23,"F",0.410909090909091,0.589090909090909,0.589090909090909,"No"
"29",7002,172,199,373,43.37,"F",0.463611859838275,0.536388140161725,0.536388140161725,"No"
"30",7003,346,458,811,51.13,"F",0.430348258706468,0.569651741293532,0.569651741293532,"No"
"31",7005,187,224,412,53.86,"F",0.454987834549878,0.545012165450122,0.545012165450122,"No"
"32",7006,243,190,437,50.35,"F",0.561200923787529,0.438799076212471,0.561200923787529,"Yes"
"33",7007,378,543,929,55.79,"F",0.41042345276873,0.58957654723127,0.58957654723127,"No"
"34",7011,259,414,672,37.03,"F",0.384843982169391,0.615156017830609,0.615156017830609,"No"
"35",7012,197,257,458,51.63,"F",0.433920704845815,0.566079295154185,0.566079295154185,"No"
"36",7013,262,414,677,42.74,"F",0.387573964497041,0.612426035502959,0.612426035502959,"No"
"37",7015,17,14,32,41.03,"F",0.548387096774194,0.451612903225806,0.548387096774194,"Yes"
"38",7016,206,401,607,35.39,"F",0.339373970345964,0.660626029654036,0.660626029654036,"No"
"39",7018,217,453,680,39.26,"F",0.323880597014925,0.676119402985075,0.676119402985075,"No"
"40",7021,178,368,551,32.84,"F",0.326007326007326,0.673992673992674,0.673992673992674,"No"
"41",7022,123,182,309,33.52,"F",0.40327868852459,0.59672131147541,0.59672131147541,"No"
"42",7023,135,299,436,28.31,"F",0.311059907834101,0.688940092165899,0.688940092165899,"No"
"43",7024,8,31,39,13.98,"F",0.205128205128205,0.794871794871795,0.794871794871795,"No"
"44",7025,34,56,92,20.86,"F",0.377777777777778,0.622222222222222,0.622222222222222,"No"
"45",7028,168,267,435,28.12,"F",0.386206896551724,0.613793103448276,0.613793103448276,"No"
"46",7029,57,115,173,20.66,"F",0.331395348837209,0.668604651162791,0.668604651162791,"No"
"47",7030,132,285,427,39.72,"F",0.316546762589928,0.683453237410072,0.683453237410072,"No"
"48",7032,97,168,274,32.09,"F",0.366037735849057,0.633962264150943,0.633962264150943,"No"
"49",7034,50,111,166,19.73,"F",0.31055900621118,0.68944099378882,0.68944099378882,"No"
"50",7035,33,73,110,33.64,"F",0.311320754716981,0.688679245283019,0.688679245283019,"No"
"51",7037,26,67,102,13.62,"F",0.279569892473118,0.720430107526882,0.720430107526882,"No"
