"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,58,130,210,42.68,"G",0.308510638297872,0.691489361702128,0.691489361702128,"No"
"2",1102,166,597,817,46.74,"G",0.217562254259502,0.782437745740498,0.782437745740498,"No"
"3",1104,104,237,376,43.57,"G",0.304985337243402,0.695014662756598,0.695014662756598,"No"
"4",1106,133,386,571,40.41,"G",0.25626204238921,0.74373795761079,0.74373795761079,"No"
"5",1109,158,484,699,42.97,"G",0.246105919003115,0.753894080996885,0.753894080996885,"No"
"6",1111,86,225,328,37.88,"G",0.276527331189711,0.723472668810289,0.723472668810289,"No"
"7",1112,87,145,258,38.62,"G",0.375,0.625,0.625,"No"
"8",1114,190,335,586,39.38,"G",0.361904761904762,0.638095238095238,0.638095238095238,"No"
"9",1115,174,325,558,35.05,"G",0.348697394789579,0.651302605210421,0.651302605210421,"No"
"10",1117,91,178,297,38.67,"G",0.338289962825279,0.661710037174721,0.661710037174721,"No"
"11",1118,173,390,606,37.24,"G",0.307282415630551,0.692717584369449,0.692717584369449,"No"
"12",1119,76,174,266,38.49,"G",0.304,0.696,0.696,"No"
"13",1122,69,140,230,39.25,"G",0.330143540669856,0.669856459330144,0.669856459330144,"No"
"14",1123,157,320,534,31.01,"G",0.329140461215933,0.670859538784067,0.670859538784067,"No"
"15",1126,156,368,586,40.52,"G",0.297709923664122,0.702290076335878,0.702290076335878,"No"
"16",1128,204,356,623,40.04,"G",0.364285714285714,0.635714285714286,0.635714285714286,"No"
"17",1129,181,351,583,37.79,"G",0.340225563909774,0.659774436090226,0.659774436090226,"No"
"18",1132,104,231,379,44.27,"G",0.31044776119403,0.68955223880597,0.68955223880597,"No"
"19",1134,77,191,298,43,"G",0.287313432835821,0.712686567164179,0.712686567164179,"No"
"20",1135,113,379,529,42.22,"G",0.229674796747967,0.770325203252033,0.770325203252033,"No"
"21",1136,80,190,299,40.57,"G",0.296296296296296,0.703703703703704,0.703703703703704,"No"
"22",1141,207,429,701,41.31,"G",0.325471698113208,0.674528301886792,0.674528301886792,"No"
"23",1144,206,470,741,43.01,"G",0.304733727810651,0.695266272189349,0.695266272189349,"No"
"24",1146,244,445,744,44.26,"G",0.354136429608128,0.645863570391872,0.645863570391872,"No"
"25",1148,89,225,337,40.75,"G",0.28343949044586,0.71656050955414,0.71656050955414,"No"
"26",1149,192,502,765,46.14,"G",0.276657060518732,0.723342939481268,0.723342939481268,"No"
"27",1153,208,444,696,43.42,"G",0.319018404907975,0.680981595092024,0.680981595092024,"No"
"28",7001,51,202,284,45.23,"G",0.201581027667984,0.798418972332016,0.798418972332016,"No"
"29",7002,85,264,373,43.37,"G",0.243553008595989,0.756446991404012,0.756446991404012,"No"
"30",7003,119,639,811,51.13,"G",0.156992084432718,0.843007915567282,0.843007915567282,"No"
"31",7005,66,332,412,53.86,"G",0.165829145728643,0.834170854271357,0.834170854271357,"No"
"32",7006,66,348,437,50.35,"G",0.159420289855072,0.840579710144927,0.840579710144927,"No"
"33",7007,125,734,929,55.79,"G",0.145518044237485,0.854481955762515,0.854481955762515,"No"
"34",7011,137,507,672,37.03,"G",0.212732919254658,0.787267080745342,0.787267080745342,"No"
"35",7012,77,360,458,51.63,"G",0.176201372997712,0.823798627002288,0.823798627002288,"No"
"36",7013,109,536,677,42.74,"G",0.168992248062016,0.831007751937984,0.831007751937984,"No"
"37",7015,8,21,32,41.03,"G",0.275862068965517,0.724137931034483,0.724137931034483,"No"
"38",7016,186,367,607,35.39,"G",0.336347197106691,0.663652802893309,0.663652802893309,"No"
"39",7018,227,378,680,39.26,"G",0.375206611570248,0.624793388429752,0.624793388429752,"No"
"40",7021,166,338,551,32.84,"G",0.329365079365079,0.670634920634921,0.670634920634921,"No"
"41",7022,94,193,309,33.52,"G",0.327526132404181,0.672473867595819,0.672473867595819,"No"
"42",7023,118,290,436,28.31,"G",0.28921568627451,0.71078431372549,0.71078431372549,"No"
"43",7024,15,24,39,13.98,"G",0.384615384615385,0.615384615384615,0.615384615384615,"No"
"44",7025,27,58,92,20.86,"G",0.317647058823529,0.682352941176471,0.682352941176471,"No"
"45",7028,128,284,435,28.12,"G",0.310679611650485,0.689320388349515,0.689320388349515,"No"
"46",7029,52,110,173,20.66,"G",0.320987654320988,0.679012345679012,0.679012345679012,"No"
"47",7030,143,238,427,39.72,"G",0.375328083989501,0.624671916010499,0.624671916010499,"No"
"48",7032,86,159,274,32.09,"G",0.351020408163265,0.648979591836735,0.648979591836735,"No"
"49",7034,57,100,166,19.73,"G",0.363057324840764,0.636942675159236,0.636942675159236,"No"
"50",7035,26,77,110,33.64,"G",0.252427184466019,0.747572815533981,0.747572815533981,"No"
"51",7037,26,60,102,13.62,"G",0.302325581395349,0.697674418604651,0.697674418604651,"No"
"52",7038,101,137,268,31.67,"G",0.42436974789916,0.57563025210084,0.57563025210084,"No"
"53",7039,81,161,277,37.95,"G",0.334710743801653,0.665289256198347,0.665289256198347,"No"
"54",7041,1,17,19,35.85,"G",0.0555555555555556,0.944444444444444,0.944444444444444,"No"
"55",7043,91,155,261,30.82,"G",0.369918699186992,0.630081300813008,0.630081300813008,"No"
"56",7045,85,163,277,39.12,"G",0.342741935483871,0.657258064516129,0.657258064516129,"No"
"57",7046,93,245,365,36.07,"G",0.275147928994083,0.724852071005917,0.724852071005917,"No"
"58",7047,106,196,330,43.53,"G",0.350993377483444,0.649006622516556,0.649006622516556,"No"
"59",7048,189,249,476,29.63,"G",0.431506849315068,0.568493150684932,0.568493150684932,"No"
"60",7049,177,325,570,37.4,"G",0.352589641434263,0.647410358565737,0.647410358565737,"No"
"61",7052,147,281,477,40.32,"G",0.343457943925234,0.656542056074766,0.656542056074766,"No"
"62",7054,130,238,408,24.89,"G",0.353260869565217,0.646739130434783,0.646739130434783,"No"
"63",7101,12,42,58,48.33,"G",0.222222222222222,0.777777777777778,0.777777777777778,"No"
"64",7201,58,273,359,43.62,"G",0.175226586102719,0.824773413897281,0.824773413897281,"No"
"65",7202,57,283,371,50.14,"G",0.167647058823529,0.832352941176471,0.832352941176471,"No"
"66",7203,39,246,304,41.31,"G",0.136842105263158,0.863157894736842,0.863157894736842,"No"
"67",7205,113,595,784,49.5,"G",0.159604519774011,0.840395480225989,0.840395480225989,"No"
"68",7206,16,105,128,40.64,"G",0.132231404958678,0.867768595041322,0.867768595041322,"No"
"69",7207,50,164,229,42.81,"G",0.233644859813084,0.766355140186916,0.766355140186916,"No"
"70",7208,71,422,533,52.41,"G",0.144016227180527,0.855983772819473,0.855983772819473,"No"
"71",7301,235,555,885,50.11,"G",0.29746835443038,0.70253164556962,0.70253164556962,"No"
"72",7302,110,301,455,61.73,"G",0.267639902676399,0.732360097323601,0.732360097323601,"No"
"73",7303,194,616,915,52.68,"G",0.239506172839506,0.760493827160494,0.760493827160494,"No"
"74",7305,177,571,841,58,"G",0.236631016042781,0.763368983957219,0.763368983957219,"No"
"75",7308,68,250,349,63.91,"G",0.213836477987421,0.786163522012579,0.786163522012579,"No"
"76",7309,55,250,329,45.37,"G",0.180327868852459,0.819672131147541,0.819672131147541,"No"
"77",7312,78,353,462,56.96,"G",0.180974477958237,0.819025522041763,0.819025522041763,"No"
"78",7313,172,487,787,52.12,"G",0.261001517450683,0.738998482549317,0.738998482549317,"No"
"79",7315,203,412,732,52.51,"G",0.330081300813008,0.669918699186992,0.669918699186992,"No"
