"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,151,39,210,42.68,"H",0.794736842105263,0.205263157894737,0.794736842105263,"Yes"
"2",1102,588,167,817,46.74,"H",0.778807947019868,0.221192052980132,0.778807947019868,"Yes"
"3",1104,268,69,376,43.57,"H",0.795252225519288,0.204747774480712,0.795252225519288,"Yes"
"4",1106,389,135,571,40.41,"H",0.74236641221374,0.25763358778626,0.74236641221374,"Yes"
"5",1109,503,137,699,42.97,"H",0.7859375,0.2140625,0.7859375,"Yes"
"6",1111,245,63,328,37.88,"H",0.795454545454545,0.204545454545455,0.795454545454545,"Yes"
"7",1112,182,47,258,38.62,"H",0.794759825327511,0.205240174672489,0.794759825327511,"Yes"
"8",1114,409,121,586,39.38,"H",0.771698113207547,0.228301886792453,0.771698113207547,"Yes"
"9",1115,375,114,558,35.05,"H",0.766871165644172,0.233128834355828,0.766871165644172,"Yes"
"10",1117,207,57,297,38.67,"H",0.784090909090909,0.215909090909091,0.784090909090909,"Yes"
"11",1118,431,126,606,37.24,"H",0.773788150807899,0.226211849192101,0.773788150807899,"Yes"
"12",1119,203,42,266,38.49,"H",0.828571428571429,0.171428571428571,0.828571428571429,"Yes"
"13",1122,151,60,230,39.25,"H",0.71563981042654,0.28436018957346,0.71563981042654,"Yes"
"14",1123,377,93,534,31.01,"H",0.802127659574468,0.197872340425532,0.802127659574468,"Yes"
"15",1126,413,113,586,40.52,"H",0.785171102661597,0.214828897338403,0.785171102661597,"Yes"
"16",1128,409,149,623,40.04,"H",0.732974910394265,0.267025089605735,0.732974910394265,"Yes"
"17",1129,403,128,583,37.79,"H",0.75894538606403,0.24105461393597,0.75894538606403,"Yes"
"18",1132,244,87,379,44.27,"H",0.737160120845921,0.262839879154079,0.737160120845921,"Yes"
"19",1134,200,64,298,43,"H",0.757575757575758,0.242424242424242,0.757575757575758,"Yes"
"20",1135,370,123,529,42.22,"H",0.750507099391481,0.249492900608519,0.750507099391481,"Yes"
"21",1136,200,68,299,40.57,"H",0.746268656716418,0.253731343283582,0.746268656716418,"Yes"
"22",1141,521,120,701,41.31,"H",0.812792511700468,0.187207488299532,0.812792511700468,"Yes"
"23",1144,573,105,741,43.01,"H",0.845132743362832,0.154867256637168,0.845132743362832,"Yes"
"24",1146,556,129,744,44.26,"H",0.811678832116788,0.188321167883212,0.811678832116788,"Yes"
"25",1148,225,76,337,40.75,"H",0.747508305647841,0.252491694352159,0.747508305647841,"Yes"
"26",1149,565,127,765,46.14,"H",0.816473988439306,0.183526011560694,0.816473988439306,"Yes"
"27",1153,481,165,696,43.42,"H",0.744582043343653,0.255417956656347,0.744582043343653,"Yes"
"28",7001,208,41,284,45.23,"H",0.835341365461847,0.164658634538153,0.835341365461847,"Yes"
"29",7002,284,60,373,43.37,"H",0.825581395348837,0.174418604651163,0.825581395348837,"Yes"
"30",7003,634,117,811,51.13,"H",0.844207723035952,0.155792276964048,0.844207723035952,"Yes"
"31",7005,327,58,412,53.86,"H",0.849350649350649,0.150649350649351,0.849350649350649,"Yes"
"32",7006,352,56,437,50.35,"H",0.862745098039216,0.137254901960784,0.862745098039216,"Yes"
"33",7007,720,130,929,55.79,"H",0.847058823529412,0.152941176470588,0.847058823529412,"Yes"
"34",7011,521,104,672,37.03,"H",0.8336,0.1664,0.8336,"Yes"
"35",7012,346,81,458,51.63,"H",0.810304449648712,0.189695550351288,0.810304449648712,"Yes"
"36",7013,522,115,677,42.74,"H",0.819466248037677,0.180533751962323,0.819466248037677,"Yes"
"37",7015,29,0,32,41.03,"H",1,0,1,"Yes"
"38",7016,442,100,607,35.39,"H",0.81549815498155,0.18450184501845,0.81549815498155,"Yes"
"39",7018,442,157,680,39.26,"H",0.737896494156928,0.262103505843072,0.737896494156928,"Yes"
"40",7021,411,86,551,32.84,"H",0.826961770623742,0.173038229376258,0.826961770623742,"Yes"
"41",7022,240,44,309,33.52,"H",0.845070422535211,0.154929577464789,0.845070422535211,"Yes"
"42",7023,346,60,436,28.31,"H",0.852216748768473,0.147783251231527,0.852216748768473,"Yes"
"43",7024,27,12,39,13.98,"H",0.692307692307692,0.307692307692308,0.692307692307692,"Yes"
"44",7025,73,14,92,20.86,"H",0.839080459770115,0.160919540229885,0.839080459770115,"Yes"
"45",7028,353,53,435,28.12,"H",0.869458128078818,0.130541871921182,0.869458128078818,"Yes"
"46",7029,143,17,173,20.66,"H",0.89375,0.10625,0.89375,"Yes"
"47",7030,275,100,427,39.72,"H",0.733333333333333,0.266666666666667,0.733333333333333,"Yes"
"48",7032,202,41,274,32.09,"H",0.831275720164609,0.168724279835391,0.831275720164609,"Yes"
"49",7034,137,19,166,19.73,"H",0.878205128205128,0.121794871794872,0.878205128205128,"Yes"
"50",7035,77,22,110,33.64,"H",0.777777777777778,0.222222222222222,0.777777777777778,"Yes"
"51",7037,60,23,102,13.62,"H",0.72289156626506,0.27710843373494,0.72289156626506,"Yes"
"52",7038,172,66,268,31.67,"H",0.722689075630252,0.277310924369748,0.722689075630252,"Yes"
"53",7039,186,51,277,37.95,"H",0.784810126582278,0.215189873417722,0.784810126582278,"Yes"
"54",7041,13,5,19,35.85,"H",0.722222222222222,0.277777777777778,0.722222222222222,"Yes"
"55",7043,195,48,261,30.82,"H",0.802469135802469,0.197530864197531,0.802469135802469,"Yes"
"56",7045,174,67,277,39.12,"H",0.721991701244813,0.278008298755187,0.721991701244813,"Yes"
"57",7046,255,75,365,36.07,"H",0.772727272727273,0.227272727272727,0.772727272727273,"Yes"
"58",7047,235,64,330,43.53,"H",0.785953177257525,0.214046822742475,0.785953177257525,"Yes"
"59",7048,347,90,476,29.63,"H",0.794050343249428,0.205949656750572,0.794050343249428,"Yes"
"60",7049,365,129,570,37.4,"H",0.738866396761134,0.261133603238866,0.738866396761134,"Yes"
"61",7052,316,105,477,40.32,"H",0.750593824228028,0.249406175771971,0.750593824228028,"Yes"
"62",7054,288,77,408,24.89,"H",0.789041095890411,0.210958904109589,0.789041095890411,"Yes"
"63",7101,45,9,58,48.33,"H",0.833333333333333,0.166666666666667,0.833333333333333,"Yes"
"64",7201,250,81,359,43.62,"H",0.755287009063444,0.244712990936556,0.755287009063444,"Yes"
"65",7202,232,98,371,50.14,"H",0.703030303030303,0.296969696969697,0.703030303030303,"Yes"
"66",7203,209,72,304,41.31,"H",0.743772241992883,0.256227758007117,0.743772241992883,"Yes"
"67",7205,546,154,784,49.5,"H",0.78,0.22,0.78,"Yes"
"68",7206,97,25,128,40.64,"H",0.795081967213115,0.204918032786885,0.795081967213115,"Yes"
"69",7207,172,39,229,42.81,"H",0.815165876777251,0.184834123222749,0.815165876777251,"Yes"
"70",7208,351,131,533,52.41,"H",0.728215767634855,0.271784232365145,0.728215767634855,"Yes"
"71",7301,611,170,885,50.11,"H",0.782330345710627,0.217669654289373,0.782330345710627,"Yes"
"72",7302,323,82,455,61.73,"H",0.797530864197531,0.202469135802469,0.797530864197531,"Yes"
"73",7303,645,154,915,52.68,"H",0.807259073842303,0.192740926157697,0.807259073842303,"Yes"
"74",7305,579,155,841,58,"H",0.788828337874659,0.211171662125341,0.788828337874659,"Yes"
"75",7308,218,84,349,63.91,"H",0.721854304635762,0.278145695364238,0.721854304635762,"Yes"
