"","PrecinctID","Yes","No","Ballots","Turnout","prop","PYes","PNo","Perc","Win"
"1",1101,119,80,210,42.68,"J",0.597989949748744,0.402010050251256,0.597989949748744,"Yes"
"2",1102,427,349,817,46.74,"J",0.550257731958763,0.449742268041237,0.550257731958763,"Yes"
"3",1104,223,132,376,43.57,"J",0.628169014084507,0.371830985915493,0.628169014084507,"Yes"
"4",1106,294,247,571,40.41,"J",0.543438077634011,0.456561922365989,0.543438077634011,"Yes"
"5",1109,395,260,699,42.97,"J",0.603053435114504,0.396946564885496,0.603053435114504,"Yes"
"6",1111,168,144,328,37.88,"J",0.538461538461538,0.461538461538462,0.538461538461538,"Yes"
"7",1112,136,104,258,38.62,"J",0.566666666666667,0.433333333333333,0.566666666666667,"Yes"
"8",1114,309,238,586,39.38,"J",0.564899451553931,0.435100548446069,0.564899451553931,"Yes"
"9",1115,270,222,558,35.05,"J",0.548780487804878,0.451219512195122,0.548780487804878,"Yes"
"10",1117,171,109,297,38.67,"J",0.610714285714286,0.389285714285714,0.610714285714286,"Yes"
"11",1118,327,239,606,37.24,"J",0.57773851590106,0.42226148409894,0.57773851590106,"Yes"
"12",1119,151,94,266,38.49,"J",0.616326530612245,0.383673469387755,0.616326530612245,"Yes"
"13",1122,109,103,230,39.25,"J",0.514150943396226,0.485849056603774,0.514150943396226,"Yes"
"14",1123,269,220,534,31.01,"J",0.550102249488753,0.449897750511247,0.550102249488753,"Yes"
"15",1126,336,213,586,40.52,"J",0.612021857923497,0.387978142076503,0.612021857923497,"Yes"
"16",1128,272,302,623,40.04,"J",0.473867595818815,0.526132404181185,0.526132404181185,"No"
"17",1129,289,252,583,37.79,"J",0.534195933456562,0.465804066543438,0.534195933456562,"Yes"
"18",1132,193,148,379,44.27,"J",0.565982404692082,0.434017595307918,0.565982404692082,"Yes"
"19",1134,143,128,298,43,"J",0.527675276752767,0.472324723247232,0.527675276752767,"Yes"
"20",1135,272,230,529,42.22,"J",0.541832669322709,0.458167330677291,0.541832669322709,"Yes"
"21",1136,140,138,299,40.57,"J",0.503597122302158,0.496402877697842,0.503597122302158,"Yes"
"22",1141,391,267,701,41.31,"J",0.594224924012158,0.405775075987842,0.594224924012158,"Yes"
"23",1144,455,242,741,43.01,"J",0.652797704447633,0.347202295552367,0.652797704447633,"Yes"
"24",1146,428,274,744,44.26,"J",0.60968660968661,0.39031339031339,0.60968660968661,"Yes"
"25",1148,178,144,337,40.75,"J",0.552795031055901,0.447204968944099,0.552795031055901,"Yes"
"26",1149,452,259,765,46.14,"J",0.635724331926864,0.364275668073136,0.635724331926864,"Yes"
"27",1153,374,291,696,43.42,"J",0.562406015037594,0.437593984962406,0.562406015037594,"Yes"
"28",7001,163,106,284,45.23,"J",0.605947955390335,0.394052044609665,0.605947955390335,"Yes"
"29",7002,210,145,373,43.37,"J",0.591549295774648,0.408450704225352,0.591549295774648,"Yes"
"30",7003,456,318,811,51.13,"J",0.589147286821705,0.410852713178295,0.589147286821705,"Yes"
"31",7005,247,149,412,53.86,"J",0.623737373737374,0.376262626262626,0.623737373737374,"Yes"
"32",7006,298,118,437,50.35,"J",0.716346153846154,0.283653846153846,0.716346153846154,"Yes"
"33",7007,531,349,929,55.79,"J",0.603409090909091,0.396590909090909,0.603409090909091,"Yes"
"34",7011,389,261,672,37.03,"J",0.598461538461538,0.401538461538462,0.598461538461538,"Yes"
"35",7012,244,191,458,51.63,"J",0.560919540229885,0.439080459770115,0.560919540229885,"Yes"
"36",7013,361,296,677,42.74,"J",0.549467275494673,0.450532724505327,0.549467275494673,"Yes"
"37",7015,23,7,32,41.03,"J",0.766666666666667,0.233333333333333,0.766666666666667,"Yes"
"38",7016,348,220,607,35.39,"J",0.612676056338028,0.387323943661972,0.612676056338028,"Yes"
"39",7018,320,304,680,39.26,"J",0.512820512820513,0.487179487179487,0.512820512820513,"Yes"
"40",7021,349,177,551,32.84,"J",0.663498098859316,0.336501901140684,0.663498098859316,"Yes"
"41",7022,211,88,309,33.52,"J",0.705685618729097,0.294314381270903,0.705685618729097,"Yes"
"42",7023,282,139,436,28.31,"J",0.669833729216152,0.330166270783848,0.669833729216152,"Yes"
"43",7024,28,10,39,13.98,"J",0.736842105263158,0.263157894736842,0.736842105263158,"Yes"
"44",7025,60,25,92,20.86,"J",0.705882352941177,0.294117647058824,0.705882352941177,"Yes"
"45",7028,301,120,435,28.12,"J",0.714964370546318,0.285035629453682,0.714964370546318,"Yes"
"46",7029,117,48,173,20.66,"J",0.709090909090909,0.290909090909091,0.709090909090909,"Yes"
"47",7030,206,188,427,39.72,"J",0.522842639593909,0.477157360406091,0.522842639593909,"Yes"
"48",7032,157,96,274,32.09,"J",0.620553359683794,0.379446640316206,0.620553359683794,"Yes"
"49",7034,107,48,166,19.73,"J",0.690322580645161,0.309677419354839,0.690322580645161,"Yes"
"50",7035,66,39,110,33.64,"J",0.628571428571429,0.371428571428571,0.628571428571429,"Yes"
"51",7037,54,31,102,13.62,"J",0.635294117647059,0.364705882352941,0.635294117647059,"Yes"
