"","INSEE","ABS","winner","PCfn"
"1","01001",44.69,"LFN",34.06
"2","01002",41.52,"LUG",23.62
"3","01004",53.34,"LFN",32.78
"4","01005",52.23,"LFN",39.22
"5","01006",49.53,"LUD",30.77
"6","01007",44.78,"LFN",32.34
"7","01008",48.68,"LFN",31.52
"8","01009",44.57,"LUD",27.34
"9","01010",53.94,"LFN",35.42
"10","01011",47.84,"LFN",33.86
"11","01012",45.71,"LFN",27.46
"12","01013",39.13,"LFN",37.8
"13","01014",58.27,"LFN",34.58
"14","01015",48.25,"LUD",26
"15","01016",52.57,"LUD",36.05
"16","01017",42.07,"LFN",45.71
"17","01019",35.14,"LUD",26.09
"18","01021",41.85,"LUD",28.82
"19","01022",49.94,"LFN",40.75
"20","01023",39.22,"LUD",26.67
"21","01024",51.39,"LUD",31.22
"22","01025",54.33,"LFN",34.15
"23","01026",51.06,"LUD",24.06
"24","01027",48.95,"LFN",39.18
"25","01028",46.81,"LFN",47
"26","01029",53.1,"LFN",39.25
"27","01030",53.42,"LUD",34.33
"28","01031",58.84,"LFN",33.54
"29","01032",50.76,"LFN",38.26
"30","01033",63.65,"LFN",29.08
"31","01034",50.28,"LFN",29.12
"32","01035",47.92,"LFN",36.88
"33","01036",45.39,"LUD",29
"34","01037",41.1,"LUD",37.4
"35","01038",46.34,"LUD",26.48
"36","01039",50.15,"LFN",31.88
"37","01040",54.68,"LFN",28.28
"38","01041",46.3,"LFN",34.33
"39","01042",41.12,"LUD",25
"40","01043",49.69,"LUD",26.02
"41","01044",51.99,"LFN",34.76
"42","01045",51.45,"LFN",38.55
"43","01046",52.45,"LFN",36.46
"44","01047",52.19,"LFN",35.02
"45","01049",47.19,"LFN",34.99
"46","01050",42.21,"LUD",40.88
"47","01051",43.56,"LFN",35.09
"48","01052",46.54,"LUD",29.41
"49","01053",54.54,"LUG",21.05
"50","01054",40.95,"LFN",34.88
"51","01056",41.48,"LFN",38.64
"52","01057",48.28,"LFN",39.78
"53","01058",38.9,"LFN",34.31
"54","01059",33.7,"LUD",25.42
"55","01060",43.17,"LUD",31.53
"56","01061",43.18,"LFN",40.39
"57","01062",43.73,"LFN",28.62
"58","01063",47.31,"LUD",28.34
"59","01064",57.47,"LFN",40.67
"60","01065",45.98,"LUD",27.56
"61","01066",43.37,"LFN",50
"62","01067",55.98,"LUD",27.78
"63","01068",48.85,"LFN",41.5
"64","01069",48.84,"LFN",37.95
"65","01071",54.84,"LUD",20.6
"66","01072",46.78,"LUD",24.89
"67","01073",48.45,"LFN",32.11
"68","01074",45.91,"LUG",31.71
"69","01075",54.38,"LFN",38.36
"70","01076",44.19,"LFN",30.77
"71","01077",35.86,"LFN",38.37
"72","01078",60.74,"LUD",20.07
"73","01079",46.01,"LFN",23.02
"74","01080",49.25,"LFN",30.91
"75","01081",50.76,"LUD",26.91
"76","01082",55.32,"LUG",29.3
"77","01083",50.21,"LFN",49.41
"78","01084",50.9,"LFN",38.35
"79","01085",39.43,"LFN",35.93
"80","01087",44.74,"LUD",27.64
"81","01088",33.29,"LUD",39.07
"82","01089",47.12,"LFN",41.87
"83","01090",47.73,"LFN",31.34
"84","01091",56.14,"LFN",36.08
"85","01092",47.45,"LFN",37.48
"86","01093",54.68,"LUD",32.16
"87","01094",54.25,"LFN",36.69
"88","01095",38.1,"LFN",34.75
"89","01096",52.92,"LFN",37.88
"90","01097",50.52,"LFN",26.09
"91","01098",50,"LFN",34.52
"92","01099",49.44,"LFN",34.29
"93","01100",39.13,"LFN",30.38
"94","01101",39.44,"LFN",45.12
"95","01102",54.98,"LFN",43.91
"96","01103",56.59,"LUD",23.72
"97","01104",51.75,"LFN",38.06
"98","01105",47.61,"LUD",30.3
"99","01106",38.17,"LFN",31.17
"100","01107",43.7,"LUD",25.37
"101","01108",50.39,"LFN",30.73
"102","01109",66.73,"LUD",27.45
"103","01110",52.21,"LUD",15.38
"104","01111",52.38,"LUD",19.15
"105","01112",46.77,"LFN",41.18
"106","01113",52.66,"LUD",30.12
"107","01114",46.01,"LUD",28.06
"108","01115",48.97,"LFN",37.14
"109","01116",45.48,"LFN",38.26
"110","01117",45.87,"LFN",38.18
"111","01118",51.99,"LFN",34.49
"112","01119",40.48,"LUD",18.95
"113","01121",43.02,"LFN",43.48
"114","01122",42.28,"LUD",24.29
"115","01123",48.52,"LUD",32.11
"116","01124",49.12,"LFN",36.4
"117","01125",44.49,"LFN",36.55
"118","01127",48.27,"LUD",25.62
"119","01128",61.4,"LFN",40
"120","01129",43.01,"LFN",36.11
"121","01130",47.62,"LFN",32.86
"122","01133",43.95,"LUD",27.65
"123","01134",51.18,"LFN",35.28
"124","01135",56.56,"LUD",26.74
"125","01136",52.65,"LFN",34.56
"126","01138",57.67,"LFN",36.1
"127","01139",52.29,"LUD",36
"128","01140",41.15,"LUD",31.72
"129","01141",43.91,"LUD",25.13
"130","01142",52.33,"LFN",37.74
"131","01143",59.87,"LUD",17.89
"132","01144",54.13,"LFN",35.42
"133","01145",48.44,"LFN",34.49
"134","01146",46.62,"LFN",35.42
"135","01147",44.26,"LUD",29.32
"136","01148",56.45,"LFN",40.04
"137","01149",38.67,"LFN",32.72
"138","01150",41.92,"LUG",14.74
"139","01151",44.72,"LFN",36.01
"140","01152",44.59,"LFN",32.92
"141","01153",55.75,"LUD",20.51
"142","01154",47.61,"LUD",28.32
"143","01155",32.8,"LFN",56.79
"144","01156",48.5,"LFN",43.19
"145","01157",47.46,"LFN",34.57
"146","01158",57.79,"LFN",33.01
"147","01159",54.69,"LUD",27.41
"148","01160",62.89,"LUD",17.16
"149","01162",19.12,"LUD",24.07
"150","01163",52.94,"LUD",32.73
"151","01165",46.59,"LFN",44.01
"152","01166",47.4,"LFN",32.52
"153","01167",51.27,"LFN",35.74
"154","01169",45.43,"LFN",39.6
"155","01170",54.17,"LFN",37.89
"156","01171",55.63,"LUD",30.6
"157","01172",45.04,"LFN",32.31
"158","01173",63.13,"LUD",20.83
"159","01174",43.8,"LUD",15.79
"160","01175",53.13,"LUD",28.25
"161","01176",36.61,"LUD",28.36
"162","01177",32.64,"LUD",23.4
"163","01179",49.29,"LUD",31.46
"164","01180",62.25,"LUD",20.44
"165","01181",50.69,"LUD",34.73
